Country,Year,Type of Vaccine,Vaccine Dose
Country A,2022,Prophylactic Vaccine Dose Number ,1.72
Country A,2023,Prophylactic Vaccine Dose Number ,1.72
Country A,2024,Prophylactic Vaccine Dose Number ,1.721
Country A,2025,Prophylactic Vaccine Dose Number ,1.721
Country A,2026,Prophylactic Vaccine Dose Number ,1.722
Country A,2027,Prophylactic Vaccine Dose Number ,1.723
Country A,2028,Prophylactic Vaccine Dose Number ,1.723
Country A,2029,Prophylactic Vaccine Dose Number ,1.724
Country A,2030,Prophylactic Vaccine Dose Number ,1.724
Country A,2022,Emergency Vaccine Dose Number ,0
Country A,2023,Emergency Vaccine Dose Number ,0
Country A,2024,Emergency Vaccine Dose Number ,0
Country A,2025,Emergency Vaccine Dose Number ,0
Country A,2026,Emergency Vaccine Dose Number ,0
Country A,2027,Emergency Vaccine Dose Number ,0
Country A,2028,Emergency Vaccine Dose Number ,0
Country A,2029,Emergency Vaccine Dose Number ,0
Country A,2030,Emergency Vaccine Dose Number ,0
Country B,2022,Prophylactic Vaccine Dose Number ,21.358
Country B,2023,Prophylactic Vaccine Dose Number ,20.994
Country B,2024,Prophylactic Vaccine Dose Number ,20.651
Country B,2025,Prophylactic Vaccine Dose Number ,20.325
Country B,2026,Prophylactic Vaccine Dose Number ,20.016
Country B,2027,Prophylactic Vaccine Dose Number ,19.718
Country B,2028,Prophylactic Vaccine Dose Number ,19.427
Country B,2029,Prophylactic Vaccine Dose Number ,19.143
Country B,2030,Prophylactic Vaccine Dose Number ,18.859
Country B,2022,Emergency Vaccine Dose Number ,1.283
Country B,2023,Emergency Vaccine Dose Number ,1.323
Country B,2024,Emergency Vaccine Dose Number ,1.361
Country B,2025,Emergency Vaccine Dose Number ,1.402
Country B,2026,Emergency Vaccine Dose Number ,1.442
Country B,2027,Emergency Vaccine Dose Number ,1.482
Country B,2028,Emergency Vaccine Dose Number ,1.522
Country B,2029,Emergency Vaccine Dose Number ,1.564
Country B,2030,Emergency Vaccine Dose Number ,1.605
Country C,2022,Prophylactic Vaccine Dose Number ,1.46
Country C,2023,Prophylactic Vaccine Dose Number ,1.47
Country C,2024,Prophylactic Vaccine Dose Number ,1.48
Country C,2025,Prophylactic Vaccine Dose Number ,1.49
Country C,2026,Prophylactic Vaccine Dose Number ,1.5
Country C,2027,Prophylactic Vaccine Dose Number ,1.511
Country C,2028,Prophylactic Vaccine Dose Number ,1.522
Country C,2029,Prophylactic Vaccine Dose Number ,1.533
Country C,2030,Prophylactic Vaccine Dose Number ,1.544
Country C,2022,Emergency Vaccine Dose Number ,0
Country C,2023,Emergency Vaccine Dose Number ,0
Country C,2024,Emergency Vaccine Dose Number ,0
Country C,2025,Emergency Vaccine Dose Number ,0
Country C,2026,Emergency Vaccine Dose Number ,0
Country C,2027,Emergency Vaccine Dose Number ,0
Country C,2028,Emergency Vaccine Dose Number ,0
Country C,2029,Emergency Vaccine Dose Number ,0
Country C,2030,Emergency Vaccine Dose Number ,0
Country D,2022,Prophylactic Vaccine Dose Number ,60.588
Country D,2023,Prophylactic Vaccine Dose Number ,62.966
Country D,2024,Prophylactic Vaccine Dose Number ,65.469
Country D,2025,Prophylactic Vaccine Dose Number ,68.14
Country D,2026,Prophylactic Vaccine Dose Number ,70.959
Country D,2027,Prophylactic Vaccine Dose Number ,73.915
Country D,2028,Prophylactic Vaccine Dose Number ,76.979
Country D,2029,Prophylactic Vaccine Dose Number ,80.2
Country D,2030,Prophylactic Vaccine Dose Number ,83.545
Country D,2022,Emergency Vaccine Dose Number ,0
Country D,2023,Emergency Vaccine Dose Number ,0
Country D,2024,Emergency Vaccine Dose Number ,0
Country D,2025,Emergency Vaccine Dose Number ,0
Country D,2026,Emergency Vaccine Dose Number ,0
Country D,2027,Emergency Vaccine Dose Number ,0
Country D,2028,Emergency Vaccine Dose Number ,0
Country D,2029,Emergency Vaccine Dose Number ,0
Country D,2030,Emergency Vaccine Dose Number ,0
Country E,2022,Prophylactic Vaccine Dose Number ,34.225
Country E,2023,Prophylactic Vaccine Dose Number ,35.969
