Year,Country,TotalVaccines,Scenario,
2022,Country D,60.58793,Scenario 1 - Baseline,
2023,Country D,62.966361,Scenario 1 - Baseline,
2024,Country D,65.469086,Scenario 1 - Baseline,
2025,Country D,68.140247,Scenario 1 - Baseline,
2026,Country D,70.958916,Scenario 1 - Baseline,
2027,Country D,73.915023,Scenario 1 - Baseline,
2028,Country D,76.979023,Scenario 1 - Baseline,
2029,Country D,80.200253,Scenario 1 - Baseline,
2030,Country D,83.545384,Scenario 1 - Baseline,
2022,Country A,1.719626,Scenario 1 - Baseline,
2023,Country A,1.720223,Scenario 1 - Baseline,
2024,Country A,1.720819,Scenario 1 - Baseline,
2025,Country A,1.721432,Scenario 1 - Baseline,
2026,Country A,1.722131,Scenario 1 - Baseline,
2027,Country A,1.722554,Scenario 1 - Baseline,
2028,Country A,1.7232,Scenario 1 - Baseline,
2029,Country A,1.723549,Scenario 1 - Baseline,
2030,Country A,1.72404,Scenario 1 - Baseline,
2022,Country B,22.603135,Scenario 1 - Baseline,
2023,Country B,22.288526,Scenario 1 - Baseline,
2024,Country B,21.982558,Scenario 1 - Baseline,
2025,Country B,21.689756,Scenario 1 - Baseline,
2026,Country B,21.406252,Scenario 1 - Baseline,
2027,Country B,21.134369,Scenario 1 - Baseline,
2028,Country B,20.880261,Scenario 1 - Baseline,
2029,Country B,20.640823,Scenario 1 - Baseline,
2030,Country B,20.408772,Scenario 1 - Baseline,
2022,Country C,1.460349,Scenario 1 - Baseline,
2023,Country C,1.470121,Scenario 1 - Baseline,
2024,Country C,1.480006,Scenario 1 - Baseline,
2025,Country C,1.490061,Scenario 1 - Baseline,
2026,Country C,1.500348,Scenario 1 - Baseline,
2027,Country C,1.510973,Scenario 1 - Baseline,
2028,Country C,1.521692,Scenario 1 - Baseline,
2029,Country C,1.53271,Scenario 1 - Baseline,
2030,Country C,1.543823,Scenario 1 - Baseline,
2022,Country E,34.225437,Scenario 1 - Baseline,
2023,Country E,35.969416,Scenario 1 - Baseline,
2024,Country E,37.802038,Scenario 1 - Baseline,
2025,Country E,39.726926,Scenario 1 - Baseline,
2026,Country E,41.746461,Scenario 1 - Baseline,
2027,Country E,43.871645,Scenario 1 - Baseline,
2028,Country E,46.105981,Scenario 1 - Baseline,
2029,Country E,48.453093,Scenario 1 - Baseline,
2030,Country E,50.918953,Scenario 1 - Baseline,
2022,Country F,7.068025,Scenario 1 - Baseline,
2023,Country F,7.295003,Scenario 1 - Baseline,
2024,Country F,7.533756,Scenario 1 - Baseline,
2025,Country F,7.783309,Scenario 1 - Baseline,
2026,Country F,8.040618,Scenario 1 - Baseline,
2027,Country F,8.302041,Scenario 1 - Baseline,
2028,Country F,8.57212,Scenario 1 - Baseline,
2029,Country F,8.853141,Scenario 1 - Baseline,
2030,Country F,9.146369,Scenario 1 - Baseline,
2022,Country D,200.647538,Scenario 2 - 100% Vaccine Coverage in All Species,
2023,Country D,209.487041,Scenario 2 - 100% Vaccine Coverage in All Species,
