"Country_code","Year","Species","Pop"
"AFG",1993,"LR",1800000
"AGO",1993,"LR",3100000
"AllAF",1993,"LR",138749638
"AllAS",1993,"LR",406784117
"AllCA",1993,"LR",15467188
"AllEA",1993,"LR",54407534
"AllME",1993,"LR",10381505
"AllSAARC",1993,"LR",325534013
"AllSADC",1993,"LR",30363250
"AllWA",1993,"LR",38511666
"AllWE",1993,"LR",70868599
"ARE",1993,"LR",60428
"ARM",1993,"LR",499199
"AZE",1993,"LR",1730900
"BDI",1993,"LR",418974
"BEN",1993,"LR",1140200
"BFA",1993,"LR",4177500
"BGD",1993,"LR",24435000
"BHR",1993,"LR",12500
"BTN",1993,"LR",339200
"BWA",1993,"LR",1821000
"CAF",1993,"LR",2674400
"CIV",1993,"LR",1205000
"CMR",1993,"LR",4700000
"COD",1993,"LR",1225482
"COG",1993,"LR",68000
"COM",1993,"LR",43800
"CPV",1993,"LR",17867
"DJI",1993,"LR",200000
"EGY",1993,"LR",6258100
"ERI",1993,"LR",1268560
"ETH",1993,"LR",29450000
"GAB",1993,"LR",37288
"GEO",1993,"LR",928600
"GHA",1993,"LR",1168640
"GIN",1993,"LR",1874470
"GMB",1993,"LR",345558
"GNB",1993,"LR",430760
"GNQ",1993,"LR",4800
"IND",1993,"LR",288952000
"IRN",1993,"LR",8426160
"IRQ",1993,"LR",1588000
"JOR",1993,"LR",64250
"KEN",1993,"LR",13000000
"KGZ",1993,"LR",1122400
"KWT",1993,"LR",11128
"LBN",1993,"LR",75000
"LBR",1993,"LR",36000
"LKA",1993,"LR",2497900
"MLI",1993,"LR",5178741
"MOZ",1993,"LR",1000000
"MRT",1993,"LR",1200000
"MWI",1993,"LR",796728
"NAM",1993,"LR",2073540
"NER",1993,"LR",3645810
"NGA",1993,"LR",14807320
"NPL",1993,"LR",9309913
"OMN",1993,"LR",200000
"PAK",1993,"LR",36519008
"QAT",1993,"LR",11651
"RWA",1993,"LR",500000
"SAU",1993,"LR",229222
"SEN",1993,"LR",2693000
"SLE",1993,"LR",360200
"SOM",1993,"LR",4200000
"STP",1993,"LR",3700
"SYR",1993,"LR",708330
"TCD",1993,"LR",7979000
"TGO",1993,"LR",230600
"TJK",1993,"LR",1260332
"TKM",1993,"LR",1004000
"TUR",1993,"LR",11933910
"TUR2",1993,"LR",369090
"TZA",1993,"LR",13322700
"UGA",1993,"LR",5370000
"UZB",1993,"LR",5275000
"YEM",1993,"LR",1162896
"ZMB",1993,"LR",2800000
"ZWE",1993,"LR",4180000
"AFG",1994,"LR",1900000
"AGO",1994,"LR",3000000
"AllAF",1994,"LR",140448955
"AllAS",1994,"LR",407739664
"AllCA",1994,"LR",15953150
"AllEA",1994,"LR",54888238
"AllME",1994,"LR",9687739
"AllSAARC",1994,"LR",326324411
"AllSADC",1994,"LR",30322312
"AllWA",1994,"LR",39285255
"AllWE",1994,"LR",71727514
"ARE",1994,"LR",64657
"ARM",1994,"LR",502214
"AZE",1994,"LR",1621300
"BDI",1994,"LR",374871
"BEN",1994,"LR",1286850
"BFA",1994,"LR",4260900
"BGD",1994,"LR",24643000
"BHR",1994,"LR",12000
"BTN",1994,"LR",338081
"BWA",1994,"LR",2100000
"CAF",1994,"LR",2735100
"CIV",1994,"LR",1231000
"CMR",1994,"LR",4700000
"COD",1994,"LR",1127131
"COG",1994,"LR",69000
"COM",1994,"LR",44500
"CPV",1994,"LR",18195
"DJI",1994,"LR",213420
"EGY",1994,"LR",5648391
"ERI",1994,"LR",1290120
"ETH",1994,"LR",29450000
"GAB",1994,"LR",37500
"GEO",1994,"LR",944100
"GHA",1994,"LR",1187000
"GIN",1994,"LR",2031760
"GMB",1994,"LR",348150
"GNB",1994,"LR",441530
"GNQ",1994,"LR",4800
"IND",1994,"LR",289128000
"IRN",1994,"LR",8641000
"IRQ",1994,"LR",1441380
"JOR",1994,"LR",61521
"KEN",1994,"LR",13000000
"KGZ",1994,"LR",1062300
"KWT",1994,"LR",14820
"LBN",1994,"LR",77002
"LBR",1994,"LR",36000
"LKA",1994,"LR",2493600
"MLI",1994,"LR",5240860
"MOZ",1994,"LR",950000
"MRT",1994,"LR",1100000
"MWI",1994,"LR",748891
"NAM",1994,"LR",2035790
"NER",1994,"LR",3864560
"NGA",1994,"LR",14881350
"NPL",1994,"LR",9721730
"OMN",1994,"LR",223000
"PAK",1994,"LR",37033000
"PSE",1994,"LR",16470
"QAT",1994,"LR",12974
